Region	Sample	Country
Karrak_lake	Canada_101	Canada
Qanisartuut	ArcFoxSamp_103	Greenland
Zackenberg	ArcFoxSamp_104	Greenland
Scoresbysund	ArcFoxSamp_105	Greenland
Karrak_lake	Canada_109	Canada
Kangerlussuaq	ArcFoxSamp_110	Greenland
Qanisartuut	ArcFoxSamp_111	Greenland
Scoresbysund	ArcFoxSamp_112	Greenland
Kangerlussuaq	ArcFoxSamp_117	Greenland
Qanisartuut	ArcFoxSamp_118	Greenland
Scoresbysund	ArcFoxSamp_120	Greenland
Qanisartuut	ArcFoxSamp_126	Greenland
Zackenberg	ArcFoxSamp_127	Greenland
Scoresbysund_immigrant_1	ArcFoxSamp_128	Greenland
Kangerlussuaq	ArcFoxSamp_133	Greenland
Qanisartuut	ArcFoxSamp_134	Greenland
Scoresbysund	ArcFoxSamp_136	Greenland
Kangerlussuaq	ArcFoxSamp_141	Greenland
Qanisartuut	ArcFoxSamp_142	Greenland
Scoresbysund_immigrant_2	ArcFoxSamp_144	Greenland
Kangerlussuaq	ArcFoxSamp_149	Greenland
Zackenberg	ArcFoxSamp_151	Greenland
Scoresbysund_immigrant_3	ArcFoxSamp_152	Greenland
Kangerlussuaq	ArcFoxSamp_157	Greenland
Qanisartuut	ArcFoxSamp_158	Greenland
Scoresbysund	ArcFoxSamp_160	Greenland
Kangerlussuaq	ArcFoxSamp_165	Greenland
Qanisartuut	ArcFoxSamp_166	Greenland
Scoresbysund	ArcFoxSamp_168	Greenland
Kangerlussuaq	ArcFoxSamp_173	Greenland
Qanisartuut	ArcFoxSamp_174	Greenland
Scoresbysund	ArcFoxSamp_176	Greenland
Kangerlussuaq	ArcFoxSamp_181	Greenland
Qanisartuut	ArcFoxSamp_182	Greenland
Zackenberg	ArcFoxSamp_183	Greenland
Scoresbysund	ArcFoxSamp_184	Greenland
Kangerlussuaq	ArcFoxSamp_189	Greenland
Qanisartuut	ArcFoxSamp_190	Greenland
Zackenberg	ArcFoxSamp_191	Greenland
Scoresbysund	ArcFoxSamp_192	Greenland
Taymyr	Taymyr_2230	Siberia
Taymyr	Taymyr_2232	Siberia
Taymyr	Taymyr_5003	Siberia
Taymyr	Taymyr_5011	Siberia
Taymyr	Taymyr_6220	Siberia
Karrak_lake	Canada_4013	Canada
Bylot_island	Canada_3	Canada